timestamp,rssi,snr,sduid,muid,data,hops,latitude,longitude,altitude,gps_time
2024-11-24 00:10:06,-40.000000,5.250000,BEACON02,6DLK,Lt:35.34440 Lg:-120.6428 At:622.11 Tm:0:9:57,1,35.34450,-120.6429,622.11,0:10:6
2024-11-24 00:10:16,-40.000000,6.250000,BEACON02,ROJ2,Lt:35.34440 Lg:-120.6428 At:622.01 Tm:0:10:7,1,35.34450,-120.6429,621.61,0:10:16
2024-11-24 00:10:26,-39.000000,5.750000,BEACON02,KHO5,Lt:35.34440 Lg:-120.6428 At:621.81 Tm:0:10:17,1,35.34450,-120.6429,621.61,0:10:26
2024-11-24 00:10:36,-42.000000,5.750000,BEACON02,BJQ2,Lt:35.34440 Lg:-120.6428 At:621.61 Tm:0:10:27,1,35.34450,-120.6429,622.61,0:10:36
2024-11-24 00:10:46,-39.000000,6.500000,BEACON02,Z4MU,Lt:35.34440 Lg:-120.6428 At:621.51 Tm:0:10:37,1,35.34451,-120.6429,623.81,0:10:46
2024-11-24 00:10:56,-40.000000,6.000000,BEACON02,LMBR,Lt:35.34440 Lg:-120.6428 At:620.91 Tm:0:10:47,1,35.34451,-120.6429,624.41,0:10:56
2024-11-24 00:11:06,-39.000000,5.750000,BEACON02,N4V4,Lt:35.34439 Lg:-120.6428 At:620.01 Tm:0:10:57,1,35.34451,-120.6429,624.11,0:11:6
2024-11-24 00:11:16,-39.000000,7.000000,BEACON02,XR27,Lt:35.34439 Lg:-120.6428 At:619.81 Tm:0:11:7,1,35.34451,-120.6429,622.71,0:11:16
2024-11-24 00:11:26,-39.000000,6.750000,BEACON02,SM3L,Lt:35.34439 Lg:-120.6428 At:619.41 Tm:0:11:17,1,35.34451,-120.6429,621.31,0:11:26
2024-11-24 00:11:36,-39.000000,6.250000,BEACON02,JIRB,Lt:35.34440 Lg:-120.6428 At:619.41 Tm:0:11:27,1,35.34451,-120.6429,621.31,0:11:36
2024-11-24 00:11:46,-39.000000,6.750000,BEACON02,5FG0,Lt:35.34440 Lg:-120.6428 At:619.11 Tm:0:11:37,1,35.34451,-120.6429,619.81,0:11:46
2024-11-24 00:11:56,-40.000000,5.250000,BEACON02,DRE9,Lt:35.34440 Lg:-120.6428 At:618.51 Tm:0:11:47,1,35.34450,-120.6429,619.71,0:11:56
2024-11-24 00:12:06,-39.000000,5.750000,BEACON02,A5YR,Lt:35.34440 Lg:-120.6428 At:617.81 Tm:0:11:57,1,35.34450,-120.6429,619.61,0:12:6
2024-11-24 00:12:16,-39.000000,6.500000,BEACON02,1U06,Lt:35.34440 Lg:-120.6428 At:616.91 Tm:0:12:7,1,35.34450,-120.6429,620.41,0:12:16
2024-11-24 00:12:26,-40.000000,5.000000,BEACON02,BZCB,Lt:35.34440 Lg:-120.6428 At:615.81 Tm:0:12:17,1,35.34450,-120.6429,622.11,0:12:26
2024-11-24 00:12:36,-39.000000,6.750000,BEACON02,YWSR,Lt:35.34440 Lg:-120.6428 At:615.71 Tm:0:12:27,1,35.34450,-120.6429,623.41,0:12:36
2024-11-24 00:12:46,-40.000000,7.000000,BEACON02,FGLM,Lt:35.34440 Lg:-120.6428 At:615.91 Tm:0:12:37,1,35.34451,-120.6429,623.31,0:12:46
2024-11-24 00:12:56,-39.000000,5.750000,BEACON02,GAJ9,Lt:35.34440 Lg:-120.6428 At:616.41 Tm:0:12:47,1,35.34450,-120.6429,622.51,0:12:56
